"synonym_name","synonym_concept_code","synonym_vocabulary_id"
"TXD 258","81","HemOnc"
"XRP 6258","81","HemOnc"
"XL184","82","HemOnc"
"XL-184","82","HemOnc"
"Cabozantinib","82","HemOnc"
"XL 184","82","HemOnc"
"calaspargase pegol-mknl","83","HemOnc"
"Calaspargase","83","HemOnc"
"supersaturated calcium phosphate rinse","84","HemOnc"
"artificial saliva","84","HemOnc"
"Calcium phosphate rinse","84","HemOnc"
"Cangrelor","85","HemOnc"
"Ro 09-1978/000","86","HemOnc"
"kapesitabin","86","HemOnc"
"capecitabine RDT","86","HemOnc"
"Capecitabine","86","HemOnc"
"ALX-0081","87","HemOnc"
"caplacizumab-yhdp","87","HemOnc"
"Caplacizumab","87","HemOnc"
"ALX 0081","87","HemOnc"
"ALX0081","87","HemOnc"
"JM8","88","HemOnc"
"Carboplatin","88","HemOnc"
"JM-8","88","HemOnc"
"CFZ","89","HemOnc"
"PR-171","89","HemOnc"
"Carfilzomib","89","HemOnc"
"PR 171","89","HemOnc"
"PR171","89","HemOnc"
"bischloroethylnitrosourea","90","HemOnc"
"BCNU","90","HemOnc"
"carmustin","90","HemOnc"
"Carmustine","90","HemOnc"
"WR-139021","91","HemOnc"
"polifeprosan 20 with carmustine implant","91","HemOnc"
"NPC-08","91","HemOnc"
"NSC-409962","91","HemOnc"
"Carmustine wafer polifeprosan 20","91","HemOnc"
"WR 139021","91","HemOnc"
"NPC 08","91","HemOnc"
"NSC 409962","91","HemOnc"
"WR139021","91","HemOnc"
"NPC08","91","HemOnc"
"NSC409962","91","HemOnc"
"Caspofungin","92","HemOnc"
"Catumaxomab","93","HemOnc"
"AZD2171","94","HemOnc"
"Cediranib","94","HemOnc"
"AZD-2171","94","HemOnc"
"AZD 2171","94","HemOnc"
"cemiplimab-rwlc","95","HemOnc"
"REGN2810","95","HemOnc"
"Cemiplimab","95","HemOnc"
"REGN-2810","95","HemOnc"
"REGN 2810","95","HemOnc"
"LDK378","96","HemOnc"
"Ceritinib","96","HemOnc"
"LDK-378","96","HemOnc"
"LDK 378","96","HemOnc"
"Cetirizine","97","HemOnc"
"C225","98","HemOnc"
"Cetuximab","98","HemOnc"
"C-225","98","HemOnc"
"C 225","98","HemOnc"
"HBI-8000","99","HemOnc"
"tucidinostat","99","HemOnc"
"CS055","99","HemOnc"
"Chidamide","99","HemOnc"
"CS-055","99","HemOnc"
"HBI 8000","99","HemOnc"
"CS 055","99","HemOnc"
"HBI8000","99","HemOnc"
"Chlorambucil","100","HemOnc"
"chlorphenamine","101","HemOnc"
"Chlorpheniramine","101","HemOnc"
"Cilostazol","102","HemOnc"
"Cimetidine","103","HemOnc"
"Ciprofloxacin","104","HemOnc"
"DACP","105","HemOnc"
"CDDP","105","HemOnc"
"cis-diamminedichloroplatinum III","105","HemOnc"
"DDP","105","HemOnc"
"NSC 119875","105","HemOnc"
"cis-platinum","105","HemOnc"
"cisplatinum","105","HemOnc"
"Cisplatin","105","HemOnc"
"NSC-119875","105","HemOnc"
"NSC119875","105","HemOnc"
"IMC-A12","106","HemOnc"
"Cixutumumab","106","HemOnc"
"IMC A12","106","HemOnc"
"IMCA12","106","HemOnc"
"2-CdA","107","HemOnc"
"2-chlorodeoxyadenosine","107","HemOnc"
"Cladribine","107","HemOnc"
"Clarithromycin","108","HemOnc"
"Clemastine","109","HemOnc"
"clodronate disodium","110","HemOnc"
"clodronic acid disodium tetrahydrate","110","HemOnc"
"Clodronate","110","HemOnc"
"klofarabin","111","HemOnc"
"Clofarabine","111","HemOnc"
"Clopidogrel","112","HemOnc"
"XL518","113","HemOnc"
"GDC-0973","113","HemOnc"
"Cobimetinib","113","HemOnc"
"XL-518","113","HemOnc"
"GDC 0973","113","HemOnc"
"XL 518","113","HemOnc"
"GDC0973","113","HemOnc"
"SAR3419","114","HemOnc"
"CoR","114","HemOnc"
"Coltuximab ravtansine","114","HemOnc"
"SAR-3419","114","HemOnc"
"SAR 3419","114","HemOnc"
"BAY 80-6946","115","HemOnc"
"Copanlisib","115","HemOnc"
"BAY-80-6946","115","HemOnc"
"BAY 80 6946","115","HemOnc"
